k,silhouette,davies_bouldin,calinski_harabasz
2,0.8870970710253798,0.7086717151424885,1094.773340688352
3,0.2606953188279527,1.281841313966207,1213.8935028409855
4,0.2482418367977404,1.209340524751455,1266.3492655433622
5,0.2915969060710524,0.9989679788222752,1476.5656509221378
6,0.33112698814648056,0.9931076362699426,1606.5143800748751
7,0.3487867136675725,0.9208851642985707,1807.7865933894668
8,0.3499811817740486,0.8532924647620335,1806.4880088539833
9,0.3519185616388782,0.9393452133758345,1769.3194035283261
10,0.33226424240552754,0.9433498598721684,1807.4133413856193
