feature,importance
Night_Shopper,0.2705822908325079
Weekend_Ratio,0.2458509680218581
Return_Rate,0.24106581931258325
Basket_Diversity,0.20191851276205994
Frequency,0.03395146543277081
Monetary,0.005853940135049017
Recency,0.0007770035031709982
