k,silhouette
2,0.8870970710253798
3,0.2606953188279527
4,0.2482418367977404
5,0.2915969060710524
6,0.3311269881464805
7,0.3487867136675725
8,0.3499811817740486
9,0.3519185616388782
10,0.33226424240552754
