run_i,run_j,ARI,k,feature_set,bootstrap,bootstrap_frac
7,17,0.27151623268805564,6,full,False,0.8
7,18,0.5108498783759421,6,full,False,0.8
7,19,0.9944301604136088,6,full,False,0.8
8,9,0.27501879905699117,6,full,False,0.8
8,10,0.9833003091210347,6,full,False,0.8
8,11,0.9842585660821003,6,full,False,0.8
8,12,0.2653019369482499,6,full,False,0.8
8,13,0.28132259515444125,6,full,False,0.8
8,14,0.9502088767569047,6,full,False,0.8
8,15,0.2750898967817509,6,full,False,0.8
8,16,0.3572560228239014,6,full,False,0.8
8,17,0.9842585660821003,6,full,False,0.8
8,18,0.3576713232738401,6,full,False,0.8
8,19,0.2785654233581365,6,full,False,0.8
9,10,0.2701394224015714,6,full,False,0.8
9,11,0.2703274314830863,6,full,False,0.8
9,12,0.9808205655641703,6,full,False,0.8
9,13,0.9871816702258822,6,full,False,0.8
9,14,0.2689339634930029,6,full,False,0.8
9,15,0.9976883318829725,6,full,False,0.8
9,16,0.5116967623740557,6,full,False,0.8
9,17,0.2703274314830863,6,full,False,0.8
9,18,0.5111621335153971,6,full,False,0.8
9,19,0.9905570353843703,6,full,False,0.8
10,11,0.9990317034190344,6,full,False,0.8
10,12,0.2608079082278792,6,full,False,0.8
10,13,0.27665801287729685,6,full,False,0.8
10,14,0.9656381867589647,6,full,False,0.8
10,15,0.27022442844686084,6,full,False,0.8
10,16,0.35977040573269375,6,full,False,0.8
10,17,0.9990317034190344,6,full,False,0.8
10,18,0.3601981798496986,6,full,False,0.8
10,19,0.27399928333626067,6,full,False,0.8
11,12,0.2609704399729127,6,full,False,0.8
11,13,0.2768636825605219,6,full,False,0.8
11,14,0.964681012127278,6,full,False,0.8
11,15,0.2704120132388931,6,full,False,0.8
11,16,0.3593626001329415,6,full,False,0.8
11,17,1.0,6,full,False,0.8
11,18,0.3597898416745239,6,full,False,0.8
11,19,0.2741976107575155,6,full,False,0.8
12,13,0.9714372625923166,6,full,False,0.8
12,14,0.25962564924070325,6,full,False,0.8
12,15,0.9819696827651204,6,full,False,0.8
12,16,0.5196139667902571,6,full,False,0.8
12,17,0.2609704399729127,6,full,False,0.8
12,18,0.5190652284111208,6,full,False,0.8
12,19,0.9758812005804668,6,full,False,0.8
13,14,0.2752993308884353,6,full,False,0.8
13,15,0.9883379226458837,6,full,False,0.8
13,16,0.5083182743900297,6,full,False,0.8
13,17,0.2768636825605219,6,full,False,0.8
